,Key_a,title_a,brand_a,price_a,Key_b,title_b,brand_b,price_b,label,69_a,69_b,178_a,178_b,306_a,306_b,449_a,449_b,106_a,106_b,641_a,641_b,725_a,725_b,364_a,364_b,2321_a,2321_b,495_a,495_b,31_a,31_b,161_a,161_b,681_a,681_b,747_a,747_b,1830_a,1830_b,20_a,20_b,2670_a,2670_b,463_a,463_b,710_a,710_b,749_a,749_b,186_a,186_b,19_a,19_b,840_a,840_b,39_a,39_b,793_a,793_b,175_a,175_b,734_a,734_b,1344_a,1344_b,1412_a,1412_b,1454_a,1454_b,27_a,27_b,101_a,101_b,1552_a,1552_b,155_a,155_b,58_a,58_b,344_a,344_b,735_a,735_b,1073_a,1073_b,162_a,162_b,400_a,400_b,112_a,112_b,658_a,658_b,123_a,123_b,136_a,136_b,366_a,366_b,144_a,144_b,17_a,17_b,1040_a,1040_b,2061_a,2061_b,407_a,407_b,170_a,170_b,86_a,86_b,1056_a,1056_b,54_a,54_b,674_a,674_b,279_a,279_b,195_a,195_b,272_a,272_b,1343_a,1343_b,264_a,264_b,47_a,47_b,277_a,277_b,479_a,479_b,1411_a,1411_b,1923_a,1923_b,40_a,40_b,355_a,355_b,361_a,361_b,21_a,21_b,180_a,180_b,1346_a,1346_b,750_a,750_b,131_a,131_b,275_a,275_b,437_a,437_b,276_a,276_b,137_a,137_b,127_a,127_b,179_a,179_b,527_a,527_b,50_a,50_b,915_a,915_b,1889_a,1889_b,2860_a,2860_b,408_a,408_b,1441_a,1441_b,452_a,452_b,1072_a,1072_b,156_a,156_b,166_a,166_b,859_a,859_b,159_a,159_b,57_a,57_b,921_a,921_b,462_a,462_b,69_31_a,69_31_b,178_31_a,178_31_b,306_527_a,306_527_b,449_31_a,449_31_b,106_31_a,106_31_b,641_31_a,641_31_b,725_106_a,725_106_b,364_31_a,364_31_b,2321_1344_a,2321_1344_b,495_150_a,495_150_b,31_527_a,31_527_b,161_106_a,161_106_b,681_31_a,681_31_b,747_31_a,747_31_b,1830_31_a,1830_31_b,20_150_a,20_150_b,2670_527_a,2670_527_b,463_527_a,463_527_b,710_1344_a,710_1344_b,749_527_a,749_527_b,186_31_a,186_31_b,19_150_a,19_150_b,840_150_a,840_150_b,39_31_a,39_31_b,793_31_a,793_31_b,175_106_a,175_106_b,734_31_a,734_31_b,1344_527_a,1344_527_b,1412_31_a,1412_31_b,1454_31_a,1454_31_b,27_150_a,27_150_b,101_31_a,101_31_b,1552_31_a,1552_31_b,155_31_a,155_31_b,58_106_a,58_106_b,344_106_a,344_106_b,735_31_a,735_31_b,1073_31_a,1073_31_b,162_106_a,162_106_b,400_31_a,400_31_b,112_106_a,112_106_b,658_31_a,658_31_b,123_31_a,123_31_b,136_31_a,136_31_b,366_31_a,366_31_b,144_31_a,144_31_b,17_150_a,17_150_b,1040_106_a,1040_106_b,2061_31_a,2061_31_b,407_31_a,407_31_b,170_106_a,170_106_b,86_106_a,86_106_b,1056_31_a,1056_31_b,54_31_a,54_31_b,674_31_a,674_31_b,279_527_a,279_527_b,195_31_a,195_31_b,272_31_a,272_31_b,1343_527_a,1343_527_b,264_31_a,264_31_b,47_31_a,47_31_b,277_31_a,277_31_b,479_527_a,479_527_b,1411_31_a,1411_31_b,1923_527_a,1923_527_b,40_31_a,40_31_b,355_31_a,355_31_b,361_527_a,361_527_b,21_31_a,21_31_b,180_527_a,180_527_b,1346_1344_a,1346_1344_b,750_31_a,750_31_b,131_150_a,131_150_b,275_31_a,275_31_b,437_31_a,437_31_b,276_150_a,276_150_b,137_150_a,137_150_b,127_150_a,127_150_b,179_527_a,179_527_b,527_1344_a,527_1344_b,50_106_a,50_106_b,915_150_a,915_150_b,1889_527_a,1889_527_b,2860_31_a,2860_31_b,408_31_a,408_31_b,1441_527_a,1441_527_b,452_31_a,452_31_b,1072_31_a,1072_31_b,156_31_a,156_31_b,166_31_a,166_31_b,859_31_a,859_31_b,159_150_a,159_150_b,57_106_a,57_106_b,921_31_a,921_31_b,462_31_a,462_31_b,69_31_279_a,69_31_279_b,178_31_279_a,178_31_279_b,306_527_31_a,306_527_31_b,449_31_279_a,449_31_279_b,106_31_279_a,106_31_279_b,641_31_1889_a,641_31_1889_b,725_106_279_a,725_106_279_b,364_31_279_a,364_31_279_b,2321_1344_527_a,2321_1344_527_b,495_150_150_a,495_150_150_b,31_527_1346_a,31_527_1346_b,161_106_279_a,161_106_279_b,681_31_279_a,681_31_279_b,747_31_1889_a,747_31_1889_b,1830_31_279_a,1830_31_279_b,20_150_131_a,20_150_131_b,2670_527_279_a,2670_527_279_b,463_527_31_a,463_527_31_b,710_1344_710_a,710_1344_710_b,749_527_1830_a,749_527_1830_b,186_31_279_a,186_31_279_b,19_150_150_a,19_150_150_b,840_150_150_a,840_150_150_b,39_31_1889_a,39_31_1889_b,793_31_279_a,793_31_279_b,175_106_279_a,175_106_279_b,734_31_279_a,734_31_279_b,1344_527_710_a,1344_527_710_b,1412_31_279_a,1412_31_279_b,1454_31_17_a,1454_31_17_b,27_150_150_a,27_150_150_b,101_31_460_a,101_31_460_b,1552_31_279_a,1552_31_279_b,155_31_527_a,155_31_527_b,58_106_279_a,58_106_279_b,344_106_279_a,344_106_279_b,735_31_279_a,735_31_279_b,1073_31_279_a,1073_31_279_b,162_106_279_a,162_106_279_b,400_31_279_a,400_31_279_b,112_106_31_a,112_106_31_b,658_31_279_a,658_31_279_b,123_31_279_a,123_31_279_b,136_31_279_a,136_31_279_b,366_31_279_a,366_31_279_b,144_31_279_a,144_31_279_b,17_150_150_a,17_150_150_b,1040_106_279_a,1040_106_279_b,2061_31_279_a,2061_31_279_b,407_31_279_a,407_31_279_b,170_106_279_a,170_106_279_b,86_106_279_a,86_106_279_b,1056_31_460_a,1056_31_460_b,54_31_279_a,54_31_279_b,674_31_279_a,674_31_279_b,279_527_279_a,279_527_279_b,195_31_279_a,195_31_279_b,272_31_279_a,272_31_279_b,1343_527_31_a,1343_527_31_b,264_31_279_a,264_31_279_b,47_31_279_a,47_31_279_b,277_31_279_a,277_31_279_b,479_527_527_a,479_527_527_b,1411_31_527_a,1411_31_527_b,1923_527_106_a,1923_527_106_b,40_31_5869_a,40_31_5869_b,355_31_279_a,355_31_279_b,361_527_710_a,361_527_710_b,21_31_1889_a,21_31_1889_b,180_527_150_a,180_527_150_b,1346_1344_710_a,1346_1344_710_b,750_31_279_a,750_31_279_b,131_150_47_a,131_150_47_b,275_31_279_a,275_31_279_b,437_31_279_a,437_31_279_b,276_150_1830_a,276_150_1830_b,137_150_150_a,137_150_150_b,127_150_150_a,127_150_150_b,179_527_527_a,179_527_527_b,527_1344_527_a,527_1344_527_b,50_106_279_a,50_106_279_b,915_150_150_a,915_150_150_b,1889_527_527_a,1889_527_527_b,2860_31_279_a,2860_31_279_b,408_31_279_a,408_31_279_b,1441_527_527_a,1441_527_527_b,452_31_460_a,452_31_460_b,1072_31_279_a,1072_31_279_b,156_31_527_a,156_31_527_b,166_31_527_a,166_31_527_b,859_31_279_a,859_31_279_b,159_150_31_a,159_150_31_b,57_106_279_a,57_106_279_b,921_31_279_a,921_31_279_b,462_31_279_a,462_31_279_b
0,"[19664990, 3510303, 3339448, 7612860, 16195119, 19874350, 6396509, 11971593, 719134]",hogan sneakers interactive aus wildleder in nachtblau,,,"[19664990, 3510303, 3339448, 7612860, 16195119, 19874350, 6396509, 11971593, 719134]",sneaker hogan interactive en gamuza azul noche,,,1,University of Houston,University of Houston,,,,,,,businessperson,American football player,American football,American football,,,,,,,,,human,human,,,,,,,,,Sugar Land,Sugar Land,,,,,,,,,,,Hood County,Hood County,,,,,,,,,,,,,,,,,United States of America,United States of America,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tennessee Titans,Tennessee Titans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,male,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,university,university,,,,,,,,profession,type of sport,type of sport,,,,,,,,,human body,human body,,,,,,,,,,,,,,,,,,,,,,Granbury,,,,,,,,,,,,,,,,,Minnesota,Indiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,American football team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gender,gender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,higher education institution,higher education institution,,,,,,,,occupation,sport,sport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stearns County,Perry County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sports team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sex,grammatical gender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"[6831716, 41421, 1637988, 7822683, 16730434, 21984962, 6276389, 6276867, 3183703]",air jordan retro nike 378037 123 everysize com,nike,,"[6831716, 41421, 1637988, 7822683, 16730434, 21984962, 6276389, 6276867, 3183703]",latest air jordan 11 xi white midnight navy university blue sale,,,1,,,,,,,,,association football player,association football player,association football,association football,,,,,,,,,human,human,,,,,,,,,,,,,,,,,,,,,Cheshunt,Cheshunt,,,,,,,,,Jordan,Jordan,,,,,,,United Kingdom,United Kingdom,,,,,,,,,,,Michael,Michael,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stevenage F.C.,Lewes F.C.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,male,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,profession,profession,type of sport,,,,,,,,,,human body,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,family name,family name,,,,,,,Wales,Northern Ireland,,,,,,,,,,,,male given name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,association football club,association football club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gender,gender identity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,job,occupation,sport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,anthroponym,anthroponym,,,,,,,Anglesey,"Newry, Mourne and Down",,,,,,,,,,,,given name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grammatical gender,sex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"[407275, 19886854, 1637988, 7822683, 16730434, 6276774, 16729594, 1703620, 6276983]",air jordan 4 retro alternate motorspots mens footwear the sneaker authority,,,"[407275, 19886854, 1637988, 7822683, 16730434, 6276774, 16729594, 1703620, 6276983]",air jordan 4 retro alternate motorspots the sneaker authority,,,1,,,,,,,TV Tokyo,TV Tokyo,,,,,,,Japanese,Japanese,,,Japan,Japan,anime television series,anime television series,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ecchi,action anime and manga,,,,,,,,,,,Japanese,Japanese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oh! great,Oh! great,,,,,,,,,,,,,,,,,,,,,,,,,sport,sport,,,,,,,,,television station,television station,,,,,,,modern language,language,,,Tochigi Prefecture,Okinawa Prefecture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,target audience for manga,target audience for manga,,,,,,,,,,,language,modern language,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mangaka,,,,,,,,,,,,,,,,,,,,,,,,,,academic discipline,academic discipline,,,,,,,,,business,business,,,,,,,human language,,,,,Nago,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,target audience,target audience,,,,,,,,,,,,human language,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,comics artist,,,,,,,,,,,,,,,,,,,,,,,,,,specialty,specialty,,
3,"[483915, 165023, 60517466, 1990165, 5262520, 448969, 3341498, 7034804, 1990127]",nike hypervenom phatal ii df ltr fg black total orange mens boots firm ground,,,"[483915, 165023, 60517466, 1990165, 5262520, 448969, 3341498, 7034804, 1990127]",nike hypervenom phatal ii df piel fg negro naranja botas de futbol cesped firme,,,1,,,,,,,,,,,,,,,,,,,,,trademark,trademark,,,,,,,Air Jordan product line,Just Do It,,,,,,,,,,,,,,,,,,,Paradise Papers,Paradise Papers,,,,,,,,,joint-stock company,joint-stock company,,,,,,,,,,,,,,,,,,,,,Bill Bowerman,Bill Bowerman,,,,,,,,,,,United States of America,United States of America,,,,,,,,,,,footwear,footwear,,,,,,,,,,,,,,,,,,,,,,,,,,,Converse,Converse,Dow Jones Industrial Average,Dow Jones Industrial Average,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clothing industry,clothing industry,,,,,,,,,Beaverton,Beaverton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,logo,brand,,,,,,,,,,,,,,,,,,,data theft,data set,,,,,,,,,,type of business entity,,,,,,,,,,,,,,,,,,,,,businessperson,author,,,,,,,,,,,Massachusetts,Ohio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,subsidiary,enterprise,The Home Depot,JPMorgan Chase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,economic branch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,creative work,class,,,,,,,,,,,,,,,,,,,theft,intellectual work,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,profession,occupation,,,,,,,,,,,Norfolk County,Logan County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,company,organization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,industry,,,,,,,,,,,,,,,,
4,"[12257149, 17493275, 2628556, 794586, 1069901, 157064, 586918, 358868]",puma evospeed 5 fg enfant noir blanc rouge chaussures pour terrain sec,,,"[12257149, 17493275, 2628556, 794586, 1069901, 157064, 586918, 358868]",puma kids evospeed 5 fg black white red blast youths soccer cleats firm ground,,,1,,,,,,,,,,,,,,,,,,,,,aircraft family,aircraft family,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,military aviation,military aviation,,,France,France,,,,,,,,,,,,,,,,,transport helicopter,transport helicopter,,,,,The International Directory of Military Aircraft 1996/97,The International Directory of Military Aircraft 1996/97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Albanian Air Force,Albanian Air Force,,,Puma,Puma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,activity,activity,,,Provence-Alpes-Côte d'Azur,Clipperton Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,action,action,,,Alpes-de-Haute-Provence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"[24326087, 30612609, 29533421, 28032548, 28003940, 27217352, 28871809, 27092858, 407275]",air jordan 13 retro playoff 2017 pre order the sneaker authority,,,"[544018, 55769464, 4866698, 18170085, 1471926]",jordan 13 bred the basement clothing,,,1,,,Konami,,,,,,,,,,,,,,,,Japan,United Kingdom,video game,musical group,,,,,,,,,,,,,,,,,,,,,,,Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Microsoft Windows,,,,,,Konami,,sports video game,sports video game,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Interscope Records,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Steam,,,,,,,,Pro Evolution Soccer,,,,,,,,,,,,Fox Engine,,,,,,,,,,,,,,,,,,association football,,,,,,video game publisher,,,,,,,,,,,,,,,,Gunma Prefecture,Scotland,,,,,,,,,,,,,,,,,,,,,,,,,Castile-La Mancha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,proprietary software,,,,,,video game publisher,,video game genre,music genre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,record label,,,,,,,,,,,,,,,,,,,,,,,,,,,,,digital distribution platform,,,,,,,,,,,,,,,,,,,,game engine,,,,,,,,,,,,,,,,,,type of sport,,,,,,software publisher,,,,,,,,,,,,,,,,,South Lanarkshire,,,,,,,,,,,,,,,,,,,,,,,,,Cuenca Province,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,software,,,,,,software publisher,,genre,genre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,music organisation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,software,,,,,,,,,,,,,,,,,,,,software engine,,,,,,,,,,,,,,,,,,class,,,
6,"[30749736, 1130577, 3944952, 1129480, 5187395, 407275, 4140943, 65798425, 162797]",nike air zoom pegasus 32 men s training shoes green blue lagoon black lifestyle footwear,goaliemonkey,93 98 usd,"[30749736, 1130577, 3944952, 1129480, 5187395, 407275, 4140943, 65798425, 162797]",nike air zoom pegasus 32 men s training shoes green blue lagoon black running and,baseball monkey,93 98 usd,1,,,,,,,,,,,,,,,,,,,United States of America,United States of America,film,film,Jack Livingston,Jack Livingston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,silent film,drama film,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Raymond B. West,Raymond B. West,,,black-and-white,black-and-white,,,,,,,,,,,,,,,,,,,Massachusetts,Alaska,title sequence,trailer,film director,film actor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,film genre,film genre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,film director,film director,,,form,color,,,,,,,,,,,,,,,,,,,Hampshire County,Hampshire County,,,director,actor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,art genre,art genre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,director,director,,,,absence
7,"[1069901, 17493275, 2628556, 12257149, 157064, 794586, 586918, 358868]",puma evospeed sl ii leather tricks fg the soccer factory,,,"[1069901, 17493275, 2628556, 12257149, 157064, 794586, 586918, 358868]",puma evospeed sl pelle ii fg bianco nero arancione scarpe uomo terreni compatti,,,1,,,,,,,,,autobiographer,pornographic actor,,,,,,,,,,,human,human,,,,,,,,,,,,,,,,,,,,,Stockholm,Stockholm,,,,,,,,,,,,,,,,,Sweden,Sweden,,,,,,,,,,,Johanna,Johanna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,female,female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,profession,profession,,,,,,,,,,,human body,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Skåne County,Uppsala County,,,,,,,,,,,,female given name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gender identity,gender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,job,job,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tomelilla Municipality,Knivsta Municipality,,,,,,,,,,,,given name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sex of humans,grammatical gender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"[3341498, 5262520, 483915, 165023, 60517466, 1990165, 7034804, 1990127, 448969]",nike sportswear air footscape magista flyknit cremise acceso,,,"[3341498, 5262520, 483915, 165023, 60517466, 1990165, 7034804, 1990127, 448969]",nike sportswear air footscape magista flyknit rojo negro dorado zapatillas para hombre,,,1,,,,,,,,,etcher,actor,,,,,,,,,,,human,human,,,,,,,,,,,,,,,,,,,,,Nice,Nice,,,,,,,,,Arrighi,Arrighi,,,French,French,,,France,France,,,,,,,,,,,Nike,Nike,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,female,female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,profession,craft,,,,,,,,,,,human body,human body,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,family name,,,,modern language,natural language,,,Martinique,Mayotte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gender,gender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,job,profession,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,anthroponym,,,,human language,human language,,,Rivière-Salée,Mamoudzou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grammatical gender,sex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"[7575522, 3546127, 17466708, 56736091, 7824622, 12069787, 108006, 2308427, 7575500]",nike zoom speed tr3 black white mens shoes 804401 017,,,"[7575522, 3546127, 17466708, 56736091, 7824622, 12069787, 108006, 2308427, 7575500]",nike zoom speed tr3 negro blanco zapatillas para hombre,,,1,,,,,,,,,baseball player,baseball player,baseball,baseball,,,,,,,,,human,human,,,,,,,,,West Mifflin,West Mifflin,,,,,,,,,,,Munhall,Munhall,,,,,,,,,Walker,Walker,,,,,,,United States of America,United States of America,,,,,,,,,,,Joseph,Joseph,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,St. Louis Cardinals,St. Louis Cardinals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,male,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,profession,profession,type of sport,type of sport,,,,,,,,,human body,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,family name,family name,,,,,,,Ohio,Maryland,,,,,,,,,,,male given name,male given name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,baseball team,baseball team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gender identity,gender identity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,job,job,sport,sport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,anthroponym,anthroponym,,,,,,,Fulton County,Fulton County,,,,,,,,,,,given name,given name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sports team,sports club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sex of humans,sex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
